Name,URL,Building_Location,Location,Region,Independency,Job_opportunities,Colloquiums,OCW,latitude,longitude
Leiden University,https://www.universiteitleiden.nl/en/science/graduate-school-of-science/phd-programmes/astronomy,"Huygens Laboratory / J.H. Oort Building
Niels Bohrweg 2
NL-2333 CA Leiden
The Netherlands","Rapenburg 70, 2311 EZ Leiden, 荷蘭","Galaxies,Exoplanets, formation of stars and planets,NOVA",Yes,https://www.universiteitleiden.nl/en/science/astronomy/jobs,,,52.16863385,4.459663057
"Stony Brook University, State University Of New York",http://www.astro.sunysb.edu/,,"100 Nicolls Rd, Stony Brook, NY 11794美國","STARS AND COMPACT OBJECTS,GRAVITATIONAL WAVE ASTRONOMY,COSMOLOGY,EXTRAGALACTIC ASTRONOMY,ALGORITHM DEVELOPMENT",No,,http://www.astro.sunysb.edu/astro/seminars_share.html,,40.91465711,-73.1257626
Kth Royal Institute Of Technology,https://www.kth.se/en/sci/centra/rymdcenter,"KTH Royal Institute of Technology
SE-100 44 Stockholm
Sweden","Brinellvägen 8, 114 28 Stockholm, 瑞典","CubeSat,Jupiter Icy moon Explorer,Instrumentation",No,,,,59.3498183,18.0707826
Novosibirsk State University,https://education.nsu.ru/department_physics_english/,,"Novosibirsk, Novosibirsk Oblast, Russia, 630090",Aerophysics,No,,,,54.84767823,83.09423819
University of Auckland,https://www.iag.usp.br/international/,"Instituto de Astronomia, Geofísica e Ciências Atmosféricas - Rua do Matão, 1226 - Cidade Universitária São Paulo-SP - Brasi","巴西 State of São Paulo, São Paulo, Butanta","Radioastronomy,Astrobiology,Atmospheric Sciences,Geophysics",No,,,,-23.5690555,-46.72188336
King'S College London,https://www.kcl.ac.uk/research/theoretical-particle-physics-cosmology,,"Strand, London WC2R 2LS, United Kingdom","Cosmology,Supersymmetry,Inflation,Loop Quantum Cosmology,Non-perturbative aspects in Field Theory,",No,,,,51.5113328,-0.1159326285
University Of Glasgow,http://www.astro.gla.ac.uk/,"Kelvin Building, University of Glasgow, Glasgow, G12 8QQ","Glasgow G12 8QQ, United Kingdom","Solar Physics,Plasma Physics,Cosmology,Radio Astronomy",No,,,,55.8609825,-4.2488787
Alma Mater Studiorum - University Of Bologna,https://physics-astronomy.unibo.it/en,"Università di Bologna - Via Zamboni, 33 - 40126 Bologna","Via Zamboni, 33, 40126 Bologna BO, Italy","AGN,Astronomical Instrumentation and Technology,Cosmology, clusters of galaxies and galaxy evolution,Extragalactic magnetic fields and nonthermal components,Galaxies and Interstellar Medium,Stars and Stellar Populations",No,,,,44.4968718,11.3524529
Michigan State University,https://astro.natsci.msu.edu/,"Biomedical & Physical Sciences Building
567 Wilson Rd, Rm 3261
East Lansing, MI 48824","Michigan, United States","STELLAR AND NUCLEAR ASTROPHYSICS,GALAXIES AND COSMOLOGY,COMPUTATIONAL ASTROPHYSICS,HIGH-ENERGY AND PARTICLE ASTROPHYSICS",Yes,https://astro.natsci.msu.edu/news-events/job-postings/,,,43.6211955,-84.6824346
University Of Bristol,https://www.bristol.ac.uk/physics/research/astrophysics/,"University of Bristol
Beacon House
Queens Road
Bristol, BS8 1QU, UK","Bristol BS8 1TH, United Kingdom","Active Galaxies,Black holes,Clusters of Galaxies,Data-Intensive Astronomy,Exoplanet Atmospheres,Galactic Line Emission,Galaxies and their Evolution,CMB,Planet Formation and Collisional Evolution",No,http://www.bristol.ac.uk/physics/research/astrophysics/postgrad/,,,51.4538022,-2.5972985
